id,sentence,difficulty
0,les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé du taux doccupation ou du taux de remplissage de linfrastructure utilisée de la topographie des lignes du flux de trafic etc,C1
1,le bleu cest ma couleur préférée mais je naime pas le vert,A1
2,le test de niveau en français est sur le site internet de lécole,A1
3,estce que ton mari est aussi de boston,A1
4,dans les écoles de commerce dans les couloirs de places financières il arrive aujourdhui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient douvrir une maison dhôtes dans une quinzaine dannées,B1
5,voilà une autre histoire que jai beaucoup aimée,A2
6,les médecins disent souvent quon doit boire un verre de vin rouge après les repas,A2
7,il est particulièrement observé chez les personnes ayant un besoin de popularité développé qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité,B2
8,jai retrouvé le plaisir de manger un oeuf à la coque,A2
9,nous allons bien nous habitons dans une petite maison ancienne avec un très beau jardin,B1
10,bonjour et bonne année,A1
11,la presse sest abondamment fait lécho des effets secondaires ressentis par les soignants de moins de 65 ans,B2
12,pour que le rocher souvre il faut le toucher avec un brin dherbe,B1
13,jhabite une belle ville dans le nord de la france,A1
14,certes il doit répondre aux goûts du consommateur mais aussi aux capacités de son portemonnaie,B2
15,ma timidité me quittait dès que je méloignais dellénore  je reprenais alors mes plans habiles et mes profondes combinaisons  mais à peine me retrouvaisje auprès delle que je me sentais de nouveau tremblant et troublé,C2
16,je pense que fréquenter les galeries est la meilleure manière déduquer son oeil à lart contemporain,B2
17,le soir je me cuche tôt parce que je dois être toujours en bonne forme,A1
18,la mère de raphaël et de vanessa exprime sa satisfaction  depuis que ses enfants possèdent un portable ça a libéré ma ligne déclaretelle,B2
19,je ne fais pas grandchose à la maison,A2
20,elle ajoute quune interdiction totale est impossible à gérer,B2
21,sans plus dhésitation il tourna vers la gauche  son pas sonnait sur la terre durcie et ce bruit cadencé monotone assoupissait en le berçant le tumulte de son esprit,C2
22,comme le signale lexpression lingua franca le français a été pendant très longtemps la langue internationale eu égard à notre rayonnement politique aussi bien que culturel,C2
23,je ne tai pas téléphoné parce que jai eu trop de travail,B1
24,cest peutêtre ça que vous cherchez ,A2
25,questce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23 4  de leurs détenteurs arrivent au bout ,C2
26,je consulte dhabitude ma messagerie et puis je prends un café,A1
27,nous sommes en train de dîner,A2
28,en fait je trouve que léducation est une bonne chose,B1
29,astu besoin de quelque chose,A1
30,perpétuel clandestin cest muni dun faux titre de séjour photocopie de la carte de résident dun copaincomplice quil avait ensuite sillonné lhexagone au bon vouloir demployeurs peu scrupuleux,C1
31,le mariage mixte apparaît comme le lieu privilégié ou les cultures saffrontent dialoguent et se fondent,B2
32,assis en terrasse dans le quartier touristique du vieux lyon james sirote une limonade bien fraîche,B2
33,la chronologie antique ne prend sens que sur un large pourtour de la méditerranée de même que ce découpage spatial nest pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure nest pas vécue comme une limite,C2
34,en voici un des moins obscurs  plus nous devenons maîtres de la biosphère plus nous en devenons dépendants  plus nous la dégradons plus nous dégradons nos vies5,C2
35,cest le début de troubles qui se poursuivent et sétendent au reste du territoire tout au long du mois de septembre les fameuses journées de septembre amplifiés le refus de guillaume 1er de considérer les revendications des insurgés,B2
36,les filles sétaient fait des colliers en fruits rouges qui ressemblaient à des perles,B2
37,je reste avec toi,A1
38,un revenu devient donc une nécessité pour que lhomme puisse accéder à la satisfaction davoir comblé ses désirs,C2
39,tu mangeas les petits fruits dès que tu les eus cueillis,C2
40,ben on est tous débordés quoi,A1
41,un petit garçon  ben trois dans un nid et dans lautre yen a deux,A2
42,jai été en forme toute la matinée,A2
43,lordinateur peut aussi répondre à des interruptions qui lui permettent dexécuter des programmes de réponses spécifiques à chacune puis de reprendre lexécution séquentielle du programme interrompu,C2
44,il a plu et jai attendu lautobus,A2
45,dans dautres cas il sagit de limites relatives basées sur un taux de croissance démographique de référence valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité,C2
46,cest bien ,A1
47,en 2007 moins de 8 des déchets des entreprises ont fait lobjet dune collecte sélective,B2
48,les médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par rapport aux dons de sang,C1
49,le plus inquiétant cest que la scandinavie avait déjà battu des records de chaleur pendant lété 2018,A2
50,jaime le ski,A1
51,malheureusement il semble désormais évident quil ny a pas de voie pour obtenir une confirmation a écrit neera tanden à joe biden en retirant sa candidature,B2
52,pourquoi loisillon se retrouvetil seul dans la forêt ,A1
53,elle est née quel jour ,A1
54,il existe effectivement des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent lhumanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs,C2
55,une bouchée de  cette expression fait référence à la quantité dun aliment quon met dans la bouche en une fois,B1
56,si tu respectait les indications plus sérieusement tu trouverais plus facilement ton chemin à travers ces ruelles,B2
57,aussitôt que julie eut découvert la vérité elle fut furieuse,C2
58,pile au moment où on a le plus besoin de réconfort,A2
59,le train en son temps était également craint brigitte munier les robots suscitent lenthousiasme des occidentaux mais aussi leur angoisse au lieu de les concevoir comme de simples outils ou à la manière japonaise tels damicaux auxiliaires ils craignent des compétiteurs menaçant leur avenir,C1
60,je viens demménager dans ma nouvelle maison,A2
61,et cette année ça défile ,B1
62,compte tenu de cette configuration cette zone est peu adaptée à des mesures de terrain pour limiter la diffusion des campagnols terrestres  les axes routiers ne représentant pas une barrière très forte pour cette espèce on peut aussi penser quun tel résultat est un artéfact dû à la coupure artificielle dune seule tache de prairie,C1
63,après mûre réflexion la commission européenne a eu une idée brillante sattaquer à un nouveau chantier qui avait jusquelà bizarrement échappé à sa sagacité légendaire,C1
64,avec de lexpérience le télévendeur peut devenir animateur dun pôle de télévendeurs superviseur déquipe chef de plateau,B1
65,et toi questce que tu vas faire ,A2
66,les valorisations boursières des sociétés internet comme amazon,C2
67,sur dautres on entendait une série de détonations tandis que des contestataires scandaient notre révolte doit réussir,C1
68,les babyboomers en sont convaincus tout peut recommencer à 50 ans,C1
69,rien nétait si beau si leste si brillant si bien ordonné que les deux armées,B1
70,comment tappellestu ,A1
71,largué par la sonde européenne rosetta le petit robot avait atterri mercredi en fin daprèsmidi sur le noyau de la comète tchourioumovguérassimenko une première de lhistoire spatiale,B2
72,elle pendit son linge au dossier dune chaise elle demeura debout tournant examinant les meubles frappée dune telle stupeur que ses larmes ne coulaient plus  il lui restait un sou sur les quatre sous gardés pour le lavoir puis entendant rire à la fenêtre étienne et claude déjà consolés elle sapprocha prit leurs têtes sous ses bras soublia un instant devant cette chaussée grise où elle avait vu le matin séveiller le peuple ouvrier le travail géant de paris  à cette heure le pavé échauffé par les besognes du jour allumait une réverbération ardente audessus de la ville derrière le mur de loctroi  cétait sur ce pavé dans cet air de fournaise quon la jetait toute seule avec les petits et elle enfila dun regard les boulevards extérieurs à droite à gauche sarrêtant aux deux bouts prise dune épouvante sourde comme si sa vie désormais allait tenir là entre un abattoir et un hôpital,C2
73,le sérum qui a pâti de la comparaison avec ses concurrents pfizer et moderna est désormais considéré comme aussi efficace pour prévenir le risque dhospitalisation,C1
